"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,95,9,0,5,1,1,0
95,185,1,0,95,5,0,1
185,9,6,1,95,5,0,0
9,18,9,1,95,5,1,1
18,35,9,1,95,5,1,1
35,68,7,1,95,5,1,1
68,133,3,0,95,5,0,1
133,259,4,0,95,5,0,1
259,100,3,0,95,5,1,0
100,195,8,1,95,5,1,1
195,185,7,0,5,1,1,0
185,361,1,0,95,5,0,1
361,343,7,0,5,1,1,0
343,669,3,0,95,5,0,1
669,1171,5,0,75,4,0,1
1171,2283,8,1,95,5,1,1
2283,4452,7,1,95,5,1,1
4452,100,7,1,95,5,0,0
100,95,4,1,5,1,0,0
95,185,3,0,95,5,0,1
185,176,7,0,5,1,1,0
176,185,6,0,5,1,0,1
185,361,8,1,95,5,1,1
361,704,6,1,95,5,1,1
704,1373,8,1,95,5,1,1
1373,2060,5,1,50,3,1,1
2060,100,6,1,95,5,1,1
100,95,6,0,5,1,1,0
95,185,9,1,95,5,1,1
185,9,5,0,95,5,1,0
9,9,3,1,5,1,1,1
9,9,7,0,5,1,1,0
9,18,2,0,95,5,0,1
18,17,6,0,5,1,1,0
17,16,7,0,5,1,1,0
16,100,2,1,5,1,0,0
100,195,8,1,95,5,1,1
195,185,7,0,5,1,1,0
185,9,2,0,95,5,1,0
9,18,3,0,95,5,0,1
18,35,9,1,95,5,1,1
35,68,4,0,95,5,0,1
68,133,6,1,95,5,1,1
133,259,7,1,95,5,1,1
259,100,1,0,95,5,0,1
100,195,1,0,95,5,0,1
195,380,9,1,95,5,1,1
380,19,6,1,95,5,0,0
19,37,8,1,95,5,1,1
37,2,6,1,95,5,0,0
2,2,1,1,5,1,0,0
2,4,9,1,95,5,1,1
4,8,7,1,95,5,1,1
8,16,1,0,95,5,0,1
