"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,5,9,1,95,5,0,0
5,100,7,1,95,5,0,0
100,195,2,0,95,5,0,1
195,10,2,0,95,5,1,0
10,20,4,0,95,5,0,1
20,100,2,0,95,5,1,0
100,195,7,1,95,5,1,1
195,380,8,1,95,5,1,1
380,741,6,1,95,5,1,1
741,1445,8,1,95,5,1,1
1445,72,6,1,95,5,0,0
72,140,9,1,95,5,1,1
140,273,1,0,95,5,0,1
273,287,4,1,5,1,1,1
287,100,4,1,5,1,1,1
100,5,4,0,95,5,1,0
5,10,8,1,95,5,1,1
10,100,8,1,95,5,0,0
100,105,5,0,5,1,0,1
105,205,2,0,95,5,0,1
205,400,1,0,95,5,0,1
400,780,9,1,95,5,1,1
780,975,5,1,25,2,1,1
975,1901,9,1,95,5,1,1
1901,3707,3,0,95,5,0,1
3707,7229,7,1,95,5,1,1
7229,100,5,1,50,3,1,1
100,195,8,1,95,5,1,1
195,10,8,1,95,5,0,0
10,20,6,1,95,5,1,1
20,21,5,0,5,1,0,1
21,26,5,0,25,2,0,1
26,51,2,0,95,5,0,1
51,99,2,0,95,5,0,1
99,5,4,0,95,5,1,0
5,10,1,0,95,5,0,1
