"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,195,4,0,95,5,0,1
195,205,4,1,5,1,1,1
205,400,9,1,95,5,1,1
400,380,6,0,5,1,1,0
380,741,9,1,95,5,1,1
741,1445,9,1,95,5,1,1
1445,72,2,0,95,5,1,0
72,4,1,0,95,5,1,0
4,100,7,1,50,3,1,1
100,195,1,0,95,5,0,1
195,185,4,1,5,1,0,0
185,361,8,1,95,5,1,1
361,18,6,1,95,5,0,0
18,35,1,0,95,5,0,1
35,2,6,1,95,5,0,0
2,3,5,1,50,3,1,1
3,3,8,1,5,1,1,1
3,100,7,1,95,5,0,0
100,95,1,1,5,1,0,0
95,71,5,1,25,2,0,0
71,138,6,1,95,5,1,1
138,269,9,1,95,5,1,1
269,256,6,0,5,1,1,0
256,269,7,0,5,1,0,1
269,282,3,1,5,1,1,1
282,550,7,1,95,5,1,1
550,100,1,0,95,5,0,1
100,5,6,1,95,5,0,0
5,100,7,1,95,5,0,0
100,105,4,1,5,1,1,1
105,5,6,1,95,5,0,0
5,9,7,1,75,4,1,1
9,16,2,0,75,4,0,1
16,15,6,0,5,1,1,0
15,29,1,0,95,5,0,1
29,57,9,1,95,5,1,1
57,60,6,0,5,1,0,1
60,100,9,1,95,5,1,1
100,195,3,0,95,5,0,1
195,146,5,0,25,2,1,0
146,285,1,0,95,5,0,1
285,14,1,0,95,5,1,0
14,27,9,1,95,5,1,1
27,47,5,0,75,4,0,1
47,2,5,1,95,5,0,0
2,4,3,0,95,5,0,1
4,100,3,0,75,4,0,1
100,195,6,1,95,5,1,1
195,10,9,1,95,5,0,0
10,18,6,1,75,4,1,1
18,100,5,1,95,5,0,0
100,195,1,0,95,5,0,1
195,380,8,1,95,5,1,1
380,361,2,1,5,1,0,0
361,18,2,0,95,5,1,0
18,35,4,0,95,5,0,1
35,33,6,0,5,1,1,0
33,31,5,1,5,1,0,0
31,2,6,1,95,5,0,0
2,100,8,1,95,5,0,0
100,195,8,1,95,5,1,1
195,205,6,0,5,1,0,1
205,400,1,0,95,5,0,1
400,780,2,0,95,5,0,1
780,39,7,1,95,5,0,0
39,41,4,1,5,1,1,1
41,2,6,1,95,5,0,0
2,2,5,1,5,1,0,0
2,100,9,1,75,4,1,1
100,5,8,1,95,5,0,0
5,100,3,0,75,4,1,0
100,105,9,0,5,1,0,1
105,5,6,1,95,5,0,0
5,9,3,0,75,4,0,1
9,9,8,0,5,1,0,1
9,100,2,0,95,5,1,0
100,105,5,1,5,1,1,1
105,205,4,0,95,5,0,1
205,10,6,1,95,5,0,0
10,20,2,0,95,5,0,1
20,39,9,1,95,5,1,1
39,2,8,1,95,5,0,0
2,2,9,0,5,1,1,0
2,100,2,0,50,3,1,0
100,195,9,1,95,5,1,1
195,380,1,0,95,5,0,1
380,399,6,0,5,1,0,1
399,778,2,0,95,5,0,1
778,39,7,1,95,5,0,0
39,2,7,1,95,5,0,0
2,3,6,1,50,3,1,1
3,2,8,1,50,3,0,0
2,100,3,0,50,3,0,1
100,195,8,1,95,5,1,1
195,380,3,0,95,5,0,1
380,741,6,1,95,5,1,1
741,185,5,0,75,4,1,0
185,361,8,1,95,5,1,1
361,343,4,1,5,1,0,0
343,669,3,0,95,5,0,1
669,702,2,1,5,1,1,1
702,100,6,1,95,5,1,1
100,95,6,0,5,1,1,0
95,185,1,0,95,5,0,1
185,9,4,0,95,5,1,0
9,9,9,0,5,1,1,0
9,100,5,0,95,5,1,0
100,195,4,0,95,5,0,1
195,380,2,0,95,5,0,1
380,19,2,0,95,5,1,0
19,37,4,0,95,5,0,1
37,35,3,1,5,1,0,0
35,68,3,0,95,5,0,1
68,133,3,0,95,5,0,1
133,259,9,1,95,5,1,1
259,100,2,1,5,1,0,0
100,195,1,0,95,5,0,1
195,205,6,0,5,1,0,1
205,400,3,0,95,5,0,1
400,20,3,0,95,5,1,0
20,39,1,0,95,5,0,1
39,2,1,0,95,5,1,0
2,2,2,0,5,1,0,1
2,4,1,0,75,4,0,1
4,100,6,0,50,3,0,1
100,195,7,1,95,5,1,1
195,10,8,1,95,5,0,0
10,12,5,1,25,2,1,1
12,21,3,0,75,4,0,1
21,41,2,0,95,5,0,1
41,2,9,1,95,5,0,0
2,2,9,1,25,2,1,1
2,2,4,0,5,1,0,1
2,100,6,0,75,4,0,1
100,195,6,1,95,5,1,1
195,205,3,1,5,1,1,1
205,195,4,1,5,1,0,0
195,10,8,1,95,5,0,0
10,12,5,1,25,2,1,1
12,23,1,0,95,5,0,1
23,17,5,1,25,2,0,0
17,33,9,1,95,5,1,1
33,100,5,1,25,2,1,1
100,195,3,0,95,5,0,1
195,380,9,1,95,5,1,1
380,361,4,1,5,1,0,0
361,379,6,0,5,1,0,1
379,739,5,0,95,5,0,1
739,37,8,1,95,5,0,0
37,39,5,0,5,1,0,1
39,76,8,1,95,5,1,1
76,4,7,1,95,5,0,0
