"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,195,2,0,95,5,0,1
195,205,5,0,5,1,0,1
205,10,4,0,95,5,1,0
10,100,4,0,95,5,1,0
100,195,2,0,95,5,0,1
195,185,8,0,5,1,1,0
185,176,6,0,5,1,1,0
176,343,2,0,95,5,0,1
343,669,1,0,95,5,0,1
669,1305,2,0,95,5,0,1
1305,2545,7,1,95,5,1,1
2545,4963,3,0,95,5,0,1
4963,100,6,0,5,1,1,0
100,5,8,1,95,5,0,0
5,100,7,1,75,4,0,0
100,195,9,1,95,5,1,1
195,380,3,0,95,5,0,1
380,475,5,1,25,2,1,1
475,451,3,1,5,1,0,0
451,23,6,1,95,5,0,0
23,45,1,0,95,5,0,1
45,88,1,0,95,5,0,1
88,4,7,1,95,5,0,0
4,100,5,0,50,3,0,1
100,195,6,1,95,5,1,1
195,380,9,1,95,5,1,1
380,741,7,1,95,5,1,1
741,1445,6,1,95,5,1,1
1445,2818,9,1,95,5,1,1
2818,2677,4,1,5,1,0,0
2677,5220,1,0,95,5,0,1
5220,10179,6,1,95,5,1,1
10179,100,2,0,95,5,0,1
100,195,1,0,95,5,0,1
195,185,9,0,5,1,1,0
185,9,8,1,95,5,0,0
9,18,5,1,95,5,1,1
18,35,9,1,95,5,1,1
35,2,2,0,95,5,1,0
2,2,3,0,25,2,0,1
2,4,5,0,75,4,0,1
4,100,4,1,25,2,0,0
100,195,1,0,95,5,0,1
195,10,2,0,95,5,1,0
10,8,5,1,25,2,0,0
8,10,5,0,25,2,0,1
10,100,1,0,95,5,1,0
100,195,1,0,95,5,0,1
195,380,9,1,95,5,1,1
380,285,5,0,25,2,1,0
285,556,8,1,95,5,1,1
556,584,4,1,5,1,1,1
584,1139,2,0,95,5,0,1
1139,2221,9,1,95,5,1,1
2221,111,3,0,95,5,1,0
111,100,8,1,95,5,0,0
100,195,9,1,95,5,1,1
195,185,9,0,5,1,1,0
185,361,1,0,95,5,0,1
361,379,5,1,5,1,1,1
379,739,1,0,95,5,0,1
739,1441,1,0,95,5,0,1
1441,2810,7,1,95,5,1,1
2810,702,5,0,75,4,1,0
702,100,7,1,95,5,1,1
100,5,6,1,95,5,0,0
5,5,8,0,5,1,1,0
5,8,5,1,50,3,1,1
8,16,9,1,95,5,1,1
16,15,3,1,5,1,0,0
15,29,3,0,95,5,0,1
29,57,9,1,95,5,1,1
57,111,8,1,95,5,1,1
111,100,4,1,5,1,1,1
100,195,2,0,95,5,0,1
195,380,7,1,95,5,1,1
380,361,6,0,5,1,1,0
361,704,3,0,95,5,0,1
704,35,2,0,95,5,1,0
35,37,7,0,5,1,0,1
37,35,5,0,5,1,1,0
35,2,6,1,95,5,0,0
2,100,9,1,95,5,1,1
100,195,3,0,95,5,0,1
195,185,6,0,5,1,1,0
185,176,2,1,5,1,0,0
176,9,8,1,95,5,0,0
9,18,1,0,95,5,0,1
18,35,8,1,95,5,1,1
35,68,9,1,95,5,1,1
68,133,3,0,95,5,0,1
133,100,2,0,95,5,0,1
100,195,4,0,95,5,0,1
195,380,5,1,95,5,1,1
380,741,1,0,95,5,0,1
741,1445,3,0,95,5,0,1
1445,2818,2,0,95,5,0,1
2818,5495,9,1,95,5,1,1
5495,10715,2,0,95,5,0,1
10715,20894,6,1,95,5,1,1
20894,100,4,1,5,1,1,1
100,195,2,0,95,5,0,1
195,380,4,0,95,5,0,1
380,741,3,0,95,5,0,1
741,37,3,0,95,5,1,0
37,72,3,0,95,5,0,1
72,140,8,1,95,5,1,1
140,147,5,1,5,1,1,1
147,7,3,0,95,5,1,0
7,100,6,1,25,2,1,1
100,125,4,1,25,2,1,1
125,119,7,0,5,1,1,0
119,125,6,0,5,1,0,1
125,244,1,0,95,5,0,1
244,232,4,1,5,1,0,0
232,452,1,0,95,5,0,1
452,881,8,1,95,5,1,1
881,1718,6,1,95,5,1,1
1718,100,3,0,95,5,0,1
100,195,9,1,95,5,1,1
195,380,6,1,95,5,1,1
380,285,5,0,25,2,1,0
285,271,3,1,5,1,0,0
271,528,9,1,95,5,1,1
528,1030,9,1,95,5,1,1
1030,2008,8,1,95,5,1,1
2008,2108,6,0,5,1,0,1
2108,100,5,0,25,2,0,1
100,95,8,0,5,1,1,0
95,185,8,1,95,5,1,1
185,361,1,0,95,5,0,1
361,18,4,0,95,5,1,0
18,100,9,1,95,5,0,0
100,195,3,0,95,5,0,1
195,205,4,1,5,1,1,1
205,215,2,1,5,1,1,1
215,419,8,1,95,5,1,1
419,398,9,0,5,1,1,0
398,776,6,1,95,5,1,1
776,1513,9,1,95,5,1,1
1513,2950,8,1,95,5,1,1
2950,100,7,1,95,5,0,0
100,195,2,0,95,5,0,1
195,380,1,0,95,5,0,1
380,741,9,1,95,5,1,1
741,1445,1,0,95,5,0,1
1445,2818,7,1,95,5,1,1
2818,5495,4,0,95,5,0,1
5495,5220,7,0,5,1,1,0
5220,261,4,0,95,5,1,0
261,100,5,0,95,5,1,0
100,5,6,1,95,5,0,0
5,5,4,1,5,1,0,0
5,6,4,1,25,2,1,1
6,6,7,0,5,1,1,0
6,6,4,0,5,1,1,0
6,6,3,1,5,1,0,0
6,6,2,1,5,1,1,1
6,9,6,0,50,3,0,1
9,7,6,0,25,2,1,0
