"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,195,3,0,95,5,0,1
195,380,7,1,95,5,1,1
380,741,4,0,95,5,0,1
741,704,3,1,5,1,0,0
704,35,4,0,95,5,1,0
35,33,5,1,5,1,0,0
33,2,3,0,95,5,1,0
2,2,5,0,5,1,0,1
2,100,9,1,95,5,1,1
100,195,2,0,95,5,0,1
195,244,5,1,25,2,1,1
244,12,8,1,95,5,0,0
12,23,7,1,95,5,1,1
23,45,7,1,95,5,1,1
45,88,7,1,95,5,1,1
88,172,3,0,95,5,0,1
172,301,5,1,75,4,1,1
301,100,4,0,95,5,0,1
100,5,9,1,95,5,0,0
5,10,7,1,95,5,1,1
10,100,1,0,95,5,1,0
100,5,4,0,95,5,1,0
5,5,4,1,5,1,1,1
5,10,8,1,95,5,1,1
10,20,6,1,95,5,1,1
20,21,6,0,5,1,0,1
21,41,4,0,95,5,0,1
41,2,2,0,95,5,1,0
2,4,9,1,95,5,1,1
4,100,2,0,95,5,0,1
100,195,3,0,95,5,0,1
195,380,2,0,95,5,0,1
380,741,8,1,95,5,1,1
741,1445,8,1,95,5,1,1
1445,72,7,1,95,5,0,0
72,4,1,0,95,5,1,0
4,4,4,1,5,1,0,0
4,5,6,1,25,2,1,1
5,100,8,1,95,5,1,1
100,195,9,1,95,5,1,1
195,380,9,1,95,5,1,1
380,570,5,1,50,3,1,1
570,285,5,1,50,3,0,0
285,556,4,0,95,5,0,1
556,1084,2,0,95,5,0,1
1084,1030,4,1,5,1,0,0
1030,2008,1,0,95,5,0,1
2008,100,4,0,95,5,1,0
