"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,5,1,0,95,5,1,0
5,5,3,1,5,1,0,0
5,100,2,0,95,5,1,0
100,195,6,1,95,5,1,1
195,205,4,1,5,1,1,1
205,400,2,0,95,5,0,1
400,420,6,0,5,1,0,1
420,819,3,0,95,5,0,1
819,1597,8,1,95,5,1,1
1597,3114,1,0,95,5,0,1
3114,6072,1,0,95,5,0,1
6072,100,2,0,95,5,1,0
100,5,6,1,95,5,0,0
5,9,4,0,75,4,0,1
9,18,2,0,95,5,0,1
18,35,9,1,95,5,1,1
35,68,9,1,95,5,1,1
68,133,9,1,95,5,1,1
133,7,4,0,95,5,1,0
7,7,8,0,5,1,1,0
7,100,9,1,95,5,1,1
100,195,8,1,95,5,1,1
195,185,3,1,5,1,0,0
185,361,8,1,95,5,1,1
361,18,3,0,95,5,1,0
18,35,8,1,95,5,1,1
35,68,2,0,95,5,0,1
68,3,2,0,95,5,1,0
3,6,1,0,95,5,0,1
6,100,5,1,25,2,1,1
100,195,7,1,95,5,1,1
195,380,3,0,95,5,0,1
380,741,9,1,95,5,1,1
741,556,5,1,25,2,0,0
556,584,8,0,5,1,0,1
584,555,7,0,5,1,1,0
555,527,6,0,5,1,1,0
527,132,5,1,75,4,0,0
132,100,8,1,95,5,1,1
100,95,1,1,5,1,0,0
95,185,2,0,95,5,0,1
185,46,5,1,75,4,0,0
46,80,4,0,75,4,0,1
80,4,4,0,95,5,1,0
4,0,8,1,95,5,0,0
