"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,5,8,1,95,5,0,0
5,8,7,1,50,3,1,1
8,100,6,1,95,5,0,0
100,5,4,0,95,5,1,0
5,9,9,1,75,4,1,1
9,2,6,0,75,4,1,0
2,2,6,0,5,1,1,0
2,100,2,0,50,3,1,0
100,195,5,1,95,5,1,1
195,10,1,0,95,5,1,0
10,20,7,1,95,5,1,1
20,39,1,0,95,5,0,1
39,2,4,0,95,5,1,0
2,100,6,1,75,4,0,0
100,95,3,1,5,1,0,0
95,185,9,1,95,5,1,1
185,361,8,1,95,5,1,1
361,704,1,0,95,5,0,1
704,35,8,1,95,5,0,0
35,52,5,0,50,3,0,1
52,49,5,1,5,1,0,0
49,2,6,1,95,5,0,0
2,100,8,1,75,4,1,1
100,95,4,1,5,1,0,0
95,90,7,0,5,1,1,0
90,158,5,1,75,4,1,1
158,308,9,1,95,5,1,1
308,601,5,0,95,5,0,1
601,1172,8,1,95,5,1,1
1172,2285,4,0,95,5,0,1
2285,4456,4,0,95,5,0,1
4456,100,7,1,95,5,0,0
100,195,9,1,95,5,1,1
195,205,3,1,5,1,1,1
205,10,4,0,95,5,1,0
10,18,5,1,75,4,1,1
18,100,3,0,95,5,1,0
100,195,2,0,95,5,0,1
195,205,6,0,5,1,0,1
205,10,7,1,95,5,0,0
10,100,8,1,95,5,0,0
100,95,6,0,5,1,1,0
95,5,8,1,95,5,0,0
5,9,2,0,75,4,0,1
9,100,3,0,95,5,1,0
100,195,9,1,95,5,1,1
195,380,6,1,95,5,1,1
380,361,6,0,5,1,1,0
361,542,5,0,50,3,0,1
542,1057,1,0,95,5,0,1
1057,2061,2,0,95,5,0,1
2061,1958,2,1,5,1,0,0
1958,98,8,1,95,5,0,0
98,100,4,0,95,5,1,0
100,195,4,0,95,5,0,1
195,380,3,0,95,5,0,1
380,19,7,1,95,5,0,0
19,14,6,0,25,2,1,0
14,27,9,1,95,5,1,1
27,53,6,1,95,5,1,1
53,103,3,0,95,5,0,1
103,108,5,1,5,1,1,1
108,100,3,0,95,5,0,1
100,195,9,1,95,5,1,1
195,380,9,1,95,5,1,1
380,190,5,0,50,3,1,0
190,370,9,1,95,5,1,1
370,18,3,0,95,5,1,0
18,100,4,0,95,5,1,0
100,195,4,0,95,5,0,1
195,380,2,0,95,5,0,1
380,361,3,1,5,1,0,0
361,704,2,0,95,5,0,1
704,669,7,0,5,1,1,0
669,1305,1,0,95,5,0,1
1305,65,6,1,95,5,0,0
65,3,2,0,95,5,1,0
3,100,7,1,95,5,0,0
100,5,7,1,95,5,0,0
5,10,2,0,95,5,0,1
10,20,7,1,95,5,1,1
20,39,3,0,95,5,0,1
39,76,6,1,95,5,1,1
76,72,1,1,5,1,0,0
72,4,6,1,95,5,0,0
4,100,6,0,95,5,1,0
100,95,4,1,5,1,0,0
95,185,8,1,95,5,1,1
185,176,2,1,5,1,0,0
176,167,2,1,5,1,0,0
167,326,9,1,95,5,1,1
326,342,6,0,5,1,0,1
342,667,6,1,95,5,1,1
667,1301,4,0,95,5,0,1
1301,100,3,0,95,5,1,0
100,95,3,1,5,1,0,0
95,185,9,1,95,5,1,1
185,176,7,0,5,1,1,0
176,9,2,0,95,5,1,0
9,18,5,1,95,5,1,1
18,35,3,0,95,5,0,1
35,2,9,1,95,5,0,0
2,4,3,0,95,5,0,1
4,100,8,1,95,5,1,1
100,5,8,1,95,5,0,0
5,4,3,0,25,2,1,0
4,6,6,1,50,3,1,1
6,12,1,0,95,5,0,1
12,23,8,1,95,5,1,1
23,45,1,0,95,5,0,1
45,88,1,0,95,5,0,1
88,84,5,1,5,1,0,0
84,100,4,0,95,5,0,1
100,195,3,0,95,5,0,1
195,205,6,0,5,1,0,1
205,400,1,0,95,5,0,1
400,780,9,1,95,5,1,1
780,39,4,0,95,5,1,0
39,2,4,0,95,5,1,0
2,4,3,0,95,5,0,1
4,8,1,0,95,5,0,1
8,100,3,0,75,4,1,0
100,195,7,1,95,5,1,1
195,185,6,0,5,1,1,0
185,361,2,0,95,5,0,1
361,704,3,0,95,5,0,1
704,1373,3,0,95,5,0,1
1373,1304,6,0,5,1,1,0
1304,978,5,1,25,2,0,0
978,1027,6,0,5,1,0,1
1027,100,4,0,95,5,1,0
100,195,6,1,95,5,1,1
195,10,3,0,95,5,1,0
10,100,6,1,95,5,0,0
100,195,2,0,95,5,0,1
195,380,4,0,95,5,0,1
380,741,8,1,95,5,1,1
741,1445,1,0,95,5,0,1
1445,1517,7,0,5,1,0,1
1517,2958,7,1,95,5,1,1
2958,148,5,0,95,5,1,0
148,141,8,0,5,1,1,0
141,275,1,0,95,5,0,1
