"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,95,3,1,5,1,0,0
95,90,3,1,5,1,0,0
90,86,1,1,5,1,0,0
86,168,3,0,95,5,0,1
168,328,7,1,95,5,1,1
328,640,3,0,95,5,0,1
640,1248,7,1,95,5,1,1
1248,2434,9,1,95,5,1,1
2434,100,5,1,95,5,1,1
100,95,8,0,5,1,1,0
95,24,6,1,75,4,0,0
24,47,1,0,95,5,0,1
47,45,4,1,5,1,0,0
45,88,2,0,95,5,0,1
88,84,2,1,5,1,0,0
84,164,7,1,95,5,1,1
164,320,4,0,95,5,0,1
320,100,9,1,95,5,1,1
100,195,3,0,95,5,0,1
195,380,8,1,95,5,1,1
380,19,2,0,95,5,1,0
19,100,7,1,95,5,0,0
100,195,1,0,95,5,0,1
195,380,2,0,95,5,0,1
380,190,5,0,50,3,1,0
190,200,4,1,5,1,1,1
200,100,5,1,50,3,0,0
100,95,7,0,5,1,1,0
95,185,9,1,95,5,1,1
185,361,9,1,95,5,1,1
361,100,2,1,5,1,0,0
100,195,1,0,95,5,0,1
195,10,2,0,95,5,1,0
10,12,3,1,25,2,1,1
12,21,7,1,75,4,1,1
21,22,4,1,5,1,1,1
22,28,5,0,25,2,0,1
28,55,1,0,95,5,0,1
55,3,3,0,95,5,1,0
3,100,5,0,25,2,1,0
100,95,3,1,5,1,0,0
95,5,8,1,95,5,0,0
5,1,5,0,75,4,1,0
