"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,5,7,1,95,5,0,0
5,10,1,0,95,5,0,1
10,20,1,0,95,5,0,1
20,19,4,1,5,1,0,0
19,37,9,1,95,5,1,1
37,2,7,1,95,5,0,0
2,2,3,0,25,2,0,1
2,100,2,1,50,3,0,0
100,195,6,1,95,5,1,1
195,341,5,1,75,4,1,1
341,665,1,0,95,5,0,1
665,632,3,1,5,1,0,0
632,1232,1,0,95,5,0,1
1232,2402,9,1,95,5,1,1
2402,4684,7,1,95,5,1,1
4684,9134,1,0,95,5,0,1
9134,100,4,0,95,5,1,0
100,195,3,0,95,5,0,1
195,205,5,0,5,1,0,1
205,359,5,0,75,4,0,1
359,90,5,0,75,4,1,0
90,176,2,0,95,5,0,1
176,185,4,1,5,1,1,1
185,361,6,1,95,5,1,1
361,704,4,0,95,5,0,1
704,100,5,1,50,3,0,0
100,195,7,1,95,5,1,1
195,380,3,0,95,5,0,1
380,361,6,0,5,1,1,0
361,704,2,0,95,5,0,1
704,1373,2,0,95,5,0,1
1373,2677,7,1,95,5,1,1
2677,5220,1,0,95,5,0,1
5220,10179,1,0,95,5,0,1
10179,100,8,1,95,5,0,0
100,195,4,0,95,5,0,1
195,380,1,0,95,5,0,1
380,741,4,0,95,5,0,1
741,1445,6,1,95,5,1,1
1445,2818,7,1,95,5,1,1
2818,5495,1,0,95,5,0,1
5495,275,3,0,95,5,1,0
275,536,8,1,95,5,1,1
536,100,2,1,5,1,0,0
100,95,6,0,5,1,1,0
95,185,8,1,95,5,1,1
185,9,6,1,95,5,0,0
9,16,7,1,75,4,1,1
16,100,6,1,95,5,0,0
100,5,3,0,95,5,1,0
5,100,4,0,95,5,1,0
100,95,8,0,5,1,1,0
95,185,8,1,95,5,1,1
185,361,2,0,95,5,0,1
361,704,2,0,95,5,0,1
704,1373,1,0,95,5,0,1
1373,2677,1,0,95,5,0,1
2677,5220,9,1,95,5,1,1
5220,10179,1,0,95,5,0,1
10179,100,5,1,50,3,0,0
100,95,2,1,5,1,0,0
95,5,8,1,95,5,0,0
5,8,9,1,50,3,1,1
8,16,9,1,95,5,1,1
16,28,3,0,75,4,0,1
28,49,5,0,75,4,0,1
49,96,6,1,95,5,1,1
96,168,5,0,75,4,0,1
168,100,4,0,95,5,0,1
100,195,2,0,95,5,0,1
195,380,3,0,95,5,0,1
380,570,5,1,50,3,1,1
570,855,5,1,50,3,1,1
855,1667,1,0,95,5,0,1
1667,1750,7,0,5,1,0,1
1750,3412,1,0,95,5,0,1
3412,6653,1,0,95,5,0,1
6653,100,9,1,95,5,1,1
100,175,5,1,75,4,1,1
175,341,8,1,95,5,1,1
341,665,6,1,95,5,1,1
665,1297,3,0,95,5,0,1
1297,2529,7,1,95,5,1,1
2529,4932,1,0,95,5,0,1
4932,9617,2,0,95,5,0,1
9617,481,8,1,95,5,0,0
481,100,7,1,95,5,1,1
100,195,9,1,95,5,1,1
195,380,1,0,95,5,0,1
380,741,2,0,95,5,0,1
741,37,8,1,95,5,0,0
37,72,8,1,95,5,1,1
72,140,8,1,95,5,1,1
140,7,4,0,95,5,1,0
7,2,3,0,75,4,1,0
2,100,2,0,95,5,1,0
100,195,8,1,95,5,1,1
195,380,1,0,95,5,0,1
380,19,6,1,95,5,0,0
19,18,2,1,5,1,0,0
18,22,4,1,25,2,1,1
22,43,7,1,95,5,1,1
43,2,4,0,95,5,1,0
2,2,5,0,5,1,1,0
2,100,6,1,75,4,1,1
100,5,7,1,95,5,0,0
5,100,2,0,95,5,1,0
100,5,1,0,95,5,1,0
5,10,2,0,95,5,0,1
10,100,6,1,95,5,0,0
100,5,4,0,95,5,1,0
5,10,2,0,95,5,0,1
10,100,9,1,95,5,0,0
100,95,2,1,5,1,0,0
95,90,4,1,5,1,0,0
90,176,9,1,95,5,1,1
176,343,7,1,95,5,1,1
343,669,1,0,95,5,0,1
669,33,6,1,95,5,0,0
33,64,6,1,95,5,1,1
64,125,9,1,95,5,1,1
125,100,7,1,95,5,1,1
100,195,7,1,95,5,1,1
195,380,2,0,95,5,0,1
380,399,5,1,5,1,1,1
399,778,4,0,95,5,0,1
778,1517,9,1,95,5,1,1
1517,1593,3,1,5,1,1,1
1593,2390,5,0,50,3,0,1
2390,4660,8,1,95,5,1,1
4660,100,7,1,95,5,0,0
100,95,5,0,5,1,1,0
95,185,6,1,95,5,1,1
185,361,3,0,95,5,0,1
361,18,3,0,95,5,1,0
18,22,5,0,25,2,0,1
22,23,5,1,5,1,1,1
23,40,5,0,75,4,0,1
40,78,6,1,95,5,1,1
78,100,8,1,95,5,0,0
100,5,7,1,95,5,0,0
5,0,8,1,95,5,0,0
