"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,5,9,1,95,5,0,0
5,4,3,1,25,2,0,0
4,6,4,1,50,3,1,1
6,10,9,1,75,4,1,1
10,100,8,1,95,5,0,0
100,95,2,1,5,1,0,0
95,185,9,1,95,5,1,1
185,194,5,1,5,1,1,1
194,378,8,1,95,5,1,1
378,19,6,1,95,5,0,0
19,37,6,1,95,5,1,1
37,72,3,0,95,5,0,1
72,140,8,1,95,5,1,1
140,100,7,0,5,1,1,0
100,195,1,0,95,5,0,1
195,380,1,0,95,5,0,1
380,19,8,1,95,5,0,0
19,37,2,0,95,5,0,1
37,72,7,1,95,5,1,1
72,140,2,0,95,5,0,1
140,273,9,1,95,5,1,1
273,341,5,0,25,2,0,1
341,100,9,1,95,5,1,1
100,195,1,0,95,5,0,1
195,380,1,0,95,5,0,1
380,741,7,1,95,5,1,1
741,37,5,1,95,5,0,0
37,35,6,0,5,1,1,0
35,2,3,0,95,5,1,0
2,2,2,0,25,2,1,0
2,100,6,0,50,3,1,0
100,195,8,1,95,5,1,1
195,380,1,0,95,5,0,1
380,741,9,1,95,5,1,1
741,704,5,0,5,1,1,0
704,739,4,1,5,1,1,1
739,1441,1,0,95,5,0,1
1441,2810,1,0,95,5,0,1
2810,5480,1,0,95,5,0,1
5480,100,6,1,95,5,1,1
100,175,5,1,75,4,1,1
175,341,8,1,95,5,1,1
341,324,5,0,5,1,1,0
324,340,5,0,5,1,0,1
340,663,1,0,95,5,0,1
663,33,5,0,95,5,1,0
33,64,2,0,95,5,0,1
64,125,7,1,95,5,1,1
125,100,8,1,95,5,1,1
100,125,5,1,25,2,1,1
125,6,2,0,95,5,1,0
6,100,4,0,95,5,1,0
100,195,6,1,95,5,1,1
195,380,7,1,95,5,1,1
380,741,6,1,95,5,1,1
741,37,4,0,95,5,1,0
37,35,3,1,5,1,0,0
35,61,4,0,75,4,0,1
61,119,2,0,95,5,0,1
119,30,5,0,75,4,1,0
30,100,5,0,95,5,0,1
100,5,8,1,95,5,0,0
5,5,3,1,5,1,0,0
5,10,3,0,95,5,0,1
10,10,6,0,5,1,1,0
10,20,8,1,95,5,1,1
20,19,3,1,5,1,0,0
19,37,2,0,95,5,0,1
37,35,4,1,5,1,0,0
35,100,2,0,95,5,1,0
100,150,5,1,50,3,1,1
150,8,4,0,95,5,1,0
8,16,6,1,95,5,1,1
16,15,8,0,5,1,1,0
15,26,5,0,75,4,0,1
26,25,4,1,5,1,0,0
25,26,7,0,5,1,0,1
26,51,2,0,95,5,0,1
51,100,3,1,5,1,1,1
100,195,2,0,95,5,0,1
195,10,3,0,95,5,1,0
10,20,8,1,95,5,1,1
20,25,5,1,25,2,1,1
25,49,9,1,95,5,1,1
49,96,1,0,95,5,0,1
96,187,7,1,95,5,1,1
187,365,8,1,95,5,1,1
365,100,8,1,95,5,1,1
100,195,7,1,95,5,1,1
195,380,9,1,95,5,1,1
380,741,7,1,95,5,1,1
741,704,5,1,5,1,0,0
704,669,6,0,5,1,1,0
669,836,5,1,25,2,1,1
836,1630,7,1,95,5,1,1
1630,3178,1,0,95,5,0,1
3178,100,4,0,95,5,1,0
100,195,6,1,95,5,1,1
195,380,6,1,95,5,1,1
380,95,5,0,75,4,1,0
95,185,9,1,95,5,1,1
185,361,7,1,95,5,1,1
361,343,6,0,5,1,1,0
343,669,6,1,95,5,1,1
669,1305,1,0,95,5,0,1
1305,100,2,0,95,5,0,1
100,195,8,1,95,5,1,1
195,380,7,1,95,5,1,1
380,19,8,1,95,5,0,0
19,20,6,0,5,1,0,1
20,35,6,1,75,4,1,1
35,68,7,1,95,5,1,1
68,133,3,0,95,5,0,1
133,259,9,1,95,5,1,1
259,100,1,1,5,1,0,0
100,5,2,0,95,5,1,0
5,100,2,0,95,5,1,0
100,50,5,0,50,3,1,0
50,98,8,1,95,5,1,1
98,191,2,0,95,5,0,1
191,372,9,1,95,5,1,1
372,19,3,0,95,5,1,0
19,100,7,1,95,5,0,0
100,105,2,1,5,1,1,1
105,205,7,1,95,5,1,1
205,195,4,1,5,1,0,0
195,380,4,0,95,5,0,1
380,741,9,1,95,5,1,1
741,1445,8,1,95,5,1,1
1445,1517,3,1,5,1,1,1
1517,2958,1,0,95,5,0,1
2958,100,3,0,95,5,0,1
100,195,7,1,95,5,1,1
195,380,9,1,95,5,1,1
380,741,1,0,95,5,0,1
741,1445,1,0,95,5,0,1
1445,1517,6,0,5,1,0,1
1517,2958,8,1,95,5,1,1
2958,5768,6,1,95,5,1,1
5768,11248,9,1,95,5,1,1
11248,100,5,1,5,1,0,0
100,5,5,0,95,5,1,0
5,10,1,0,95,5,0,1
10,20,7,1,95,5,1,1
20,30,5,1,50,3,1,1
30,2,5,1,95,5,0,0
2,2,4,1,5,1,0,0
2,4,2,0,95,5,0,1
4,8,2,0,95,5,0,1
8,100,9,1,95,5,1,1
100,195,1,0,95,5,0,1
195,380,2,0,95,5,0,1
380,741,6,1,95,5,1,1
741,1445,1,0,95,5,0,1
1445,2818,4,0,95,5,0,1
2818,4227,5,0,50,3,0,1
4227,8243,4,0,95,5,0,1
8243,16074,1,0,95,5,0,1
16074,31344,9,1,95,5,1,1
