"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,195,4,0,95,5,0,1
195,380,1,0,95,5,0,1
380,361,3,1,5,1,0,0
361,18,6,1,95,5,0,0
18,100,5,1,95,5,0,0
100,195,2,0,95,5,0,1
195,380,9,1,95,5,1,1
380,475,5,0,25,2,0,1
475,119,5,0,75,4,1,0
119,232,1,0,95,5,0,1
232,452,7,1,95,5,1,1
452,23,6,1,95,5,0,0
23,100,2,0,95,5,1,0
100,195,1,0,95,5,0,1
195,380,6,1,95,5,1,1
380,741,6,1,95,5,1,1
741,1445,7,1,95,5,1,1
1445,2818,1,0,95,5,0,1
2818,5495,9,1,95,5,1,1
5495,5220,6,0,5,1,1,0
5220,10179,9,1,95,5,1,1
10179,100,8,1,95,5,1,1
100,195,8,1,95,5,1,1
195,380,2,0,95,5,0,1
380,19,4,0,95,5,1,0
19,37,2,0,95,5,0,1
37,2,6,1,95,5,0,0
2,3,9,1,50,3,1,1
3,6,3,0,95,5,0,1
6,12,1,0,95,5,0,1
12,100,1,0,95,5,0,1
100,195,4,0,95,5,0,1
195,10,4,0,95,5,1,0
10,20,2,0,95,5,0,1
20,39,2,0,95,5,0,1
39,41,6,0,5,1,0,1
41,2,5,0,95,5,1,0
2,4,6,1,75,4,1,1
4,8,2,0,95,5,0,1
8,100,9,1,95,5,1,1
100,5,8,1,95,5,0,0
5,10,1,0,95,5,0,1
10,20,1,0,95,5,0,1
20,39,1,0,95,5,0,1
39,76,8,1,95,5,1,1
76,72,6,0,5,1,1,0
72,4,3,0,95,5,1,0
4,8,1,0,95,5,0,1
8,10,5,1,25,2,1,1
